Province,City,Monitoring_Station,Latitude,Longitude,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index,Pollution_Level,Remarks
Zhejiang,Ningbo,Ningbo_Station_2,25.523836,122.622036,2023-06-01,22.48,6.93,9.3,652.3,0.85,2.14,0.03,0.38,0.074,2.71,15.38,1.39,6.9,0.66,0.02,87,36.64,Very Poor,High pollution spike detected
Sichuan,Mianyang,Mianyang_Station_1,32.243099,112.88876,2023-03-05,27.33,6.89,8.14,357.53,4.49,2.06,0.015,0.38,0.147,3.15,16.82,2.98,4.68,0.39,0.1,116,66.25,Excellent,High pollution spike detected
Zhejiang,Ningbo,Ningbo_Station_8,29.996179,124.744859,2023-07-13,21.04,6.02,5.34,519.69,17.46,2.11,0.029,0.3,0.021,3.39,17.31,2.65,3.24,0.27,0.11,110,98.69,Poor,High pollution spike detected
Beijing,Beijing,Beijing_Station_10,29.976437,118.274846,2023-02-17,16.62,7.31,10.06,593.13,7.38,1.9,0.014,0.2,0.155,2.91,17.95,5.18,3.2,0.67,0.11,99,71.32,Poor,Monitoring recommended
Sichuan,Chengdu,Chengdu_Station_1,43.52472,121.666111,2023-03-06,21.81,7.77,7.93,656.46,3.7,1.8,0.019,0.22,0.152,3.45,20.1,3.47,2.01,0.34,0.14,82,16.12,Excellent,
Zhejiang,Ningbo,Ningbo_Station_8,43.90478,101.988752,2023-07-29,24.58,7.16,6.94,551.33,11.15,2.69,0.022,0.44,0.134,2.87,18.16,5.27,4.42,-0.03,0.12,91,33.76,Moderate,Requires attention
Yunnan,Dali,Dali_Station_6,22.115434,109.771096,2023-05-07,19.19,7.2,11.77,517.46,2.26,1.99,0.003,0.29,0.05,3.05,17.84,3.34,5.01,0.6,0.09,92,48.95,Excellent,Monitoring recommended
Yunnan,Dali,Dali_Station_9,35.938674,106.044997,2023-12-12,25.71,7.38,9.58,409.06,2.29,2.7,0.034,0.32,0.104,2.75,24.62,5.71,6.75,0.5,0.08,91,17.44,Excellent,Requires attention
Jiangsu,Nanjing,Nanjing_Station_9,43.507463,100.585848,2023-03-02,15.4,7.77,6.43,467.79,12.93,1.82,0.026,0.71,0.126,3.68,32.7,3.68,4.59,0.21,0.16,95,89.71,Good,Monitoring recommended
Shandong,Jinan,Jinan_Station_4,36.336582,104.53814,2023-04-29,21.25,7.17,6.64,523.23,0.88,2.11,0.028,0.53,0.039,3.52,26.63,4.73,3.09,0.35,0.04,108,84.92,Moderate,Monitoring recommended
Zhejiang,Ningbo,Ningbo_Station_1,44.548434,106.519985,2023-09-15,24.11,7.95,7.51,424.63,1.54,2.44,0.018,0.74,0.127,4.37,20.47,2.59,4.93,0.31,0.15,96,92.83,Very Poor,Requires attention
Shandong,Qingdao,Qingdao_Station_9,30.253306,114.157183,2023-12-28,22.37,6.96,6.31,348.52,9.52,1.54,0.015,0.64,0.105,3.32,28.81,4.23,3.38,0.71,0.1,107,70.25,Moderate,Requires attention
Zhejiang,Ningbo,Ningbo_Station_7,25.694385,115.051176,2023-08-22,13.11,6.53,9.03,551.38,10.09,2.01,0.029,0.79,0.1,3.67,24.94,4.23,5.35,0.27,0.02,84,3.59,Excellent,
Henan,Luoyang,Luoyang_Station_6,32.368152,115.077808,2023-10-21,31.57,6.07,9.37,338.73,0.15,1.55,0.017,0.81,0.106,3.27,13.65,6.39,8.69,0.77,0.14,95,27.08,Moderate,
Yunnan,Dali,Dali_Station_1,30.094647,108.685749,2023-04-28,16.04,6.94,9.01,586.58,2.63,1.83,0.017,0.56,0.019,3.47,26.33,4.38,8.3,0.23,0.19,92,75.78,Very Poor,
Zhejiang,Hangzhou,Hangzhou_Station_4,37.44114,101.120714,2023-03-07,22.22,7.39,6.15,494.05,3.38,1.35,0.019,0.1,0.035,3.77,26.62,3.87,4.07,0.51,0.22,112,16.29,Poor,
Zhejiang,Ningbo,Ningbo_Station_9,28.245944,106.644102,2023-09-16,21.0,6.7,8.14,461.47,14.09,1.05,0.033,0.38,0.206,3.34,20.35,4.44,4.78,0.4,0.11,95,2.33,Moderate,Monitoring recommended
Hubei,Yichang,Yichang_Station_7,43.396203,111.066512,2023-03-24,17.05,7.42,8.71,430.71,4.96,2.18,0.026,0.37,0.144,3.28,16.45,2.21,2.56,0.37,0.16,98,75.45,Moderate,
Guangdong,Shenzhen,Shenzhen_Station_1,28.866637,118.733761,2023-04-09,26.53,7.01,9.36,468.97,2.46,1.86,0.014,0.88,0.153,2.1,17.77,5.2,2.61,0.65,0.13,109,49.44,Very Poor,High pollution spike detected
Beijing,Beijing,Beijing_Station_5,34.324844,107.56774,2023-08-16,20.38,6.66,9.95,485.29,2.16,2.31,0.034,0.41,0.11,3.28,24.36,5.15,4.05,0.37,0.17,83,55.84,Very Poor,
